weaponid,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail
14676,6,Explosives,14,Time Fuse,,,,,,,,,,,,,The bomb had a timer mechanism and contained enough explosives to be equivalent with 1 kg of TNT.
14677,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,A gun and rifle were used in the attack.
14678,6,Explosives,7,Grenade,,,,,,,,,,,,,A Chinese-make grenade was used in the attack.
14679,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Unknown firearms were used.
14680,6,Explosives,15,Vehicle,,,,,,,,,,,,,A car bomb with 200kg of explosives was used in the attack.
14681,7,Fake Weapons,,,,,,,,,,,,,,,Urbak used candles to pretend as dynamite.
14682,6,Explosives,15,Vehicle,,,,,,,,,,,,,The device was a pipe bomb attached to a gas cylinder planted in the Peugeot 406 model taxicab.
14683,5,Firearms,2,Automatic or Semi-Automatic Rifle,6,Explosives,7,Grenade,,,,,,,,,AK-47s and grenades were used in the attack.
14684,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A remotely-controlled device was used to destroy the truck.
14685,6,Explosives,13,Suicide (carried bodily by human being),,,,,,,,,,,,,The device was a belt with 20kg of explosives.
14686,5,Firearms,5,Unknown Gun Type,9,Melee,23,Knife or Other Sharp Object,9,Melee,21,Blunt Object,,,,,Knives and iron bars were used to stab and beat the Ambassador and Embassy staff respectively.  Unknown firearms were used in the gunfight with the Guinea-Bissau Police.
14687,5,Firearms,2,Automatic or Semi-Automatic Rifle,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,Machine gunfire and RPGs were fired at the US Special Forces troops.
14688,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Two missiles were used in the attack.
14689,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,An unknown explosive was used but the bomb was described as weighing 55 pounds and was the first bomb of its kind to be used in the Gaza Strip or West Bank.
14690,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Anti-tank rockets were used in the attack.
14691,5,Firearms,2,Automatic or Semi-Automatic Rifle,5,Firearms,3,Handgun,9,Melee,23,Knife or Other Sharp Object,,,,,Assailants armed with Kalashnikovs and  automatic pistols; victim's throat slit
14692,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Two pipe bombs filled were nails were used.
14693,5,Firearms,3,Handgun,,,,,,,,,,,,,A handgun was used to shoot Om Radsady.
14694,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Four Qassam short-range missiles were fired.
14695,5,Firearms,2,Automatic or Semi-Automatic Rifle,6,Explosives,7,Grenade,,,,,,,,,M-60 machine guns and grenades were reportedly used in the attack.
14696,6,Explosives,13,Suicide (carried bodily by human being),,,,,,,,,,,,,The bomb was a mortar shell wired to a timing device.
14697,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A roadside bomb hidden under snow was used in the attack.
14698,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Three mortar shells tied to timers were used two detonated.
14699,2,Chemical,1,Poisoning,,,,,,,,,,,,,Cyanide was used in the letters.
14700,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,Rocket-propelled grenades and assault rifles with automatic fire were used in the attack.
14701,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,An AK-47 was used.
14702,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,An unknown type of sub-automatic machine gun was used.
14703,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Three Qassam rockets were fired.  Each had a 12-pound warhead with explosives and a range of around three miles.
14704,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Low intensity mortars were thrown.
14705,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,SKS automatic rifles were used.
14706,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,The bomb was made from a grenade launcher round.
14707,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,C-4 was used in the bomb.
14708,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A crude homemade charcoal gunpowder bomb was used.
14709,5,Firearms,2,Automatic or Semi-Automatic Rifle,9,Melee,23,Knife or Other Sharp Object,,,,,,,,,Machine guns were used on the cars and some victims were stabbed to death by knives.
14710,5,Firearms,3,Handgun,,,,,,,,,,,,,A 45-mm caliber handgun was used in the attack.
14711,6,Explosives,13,Suicide (carried bodily by human being),,,,,,,,,,,,,The bomb weighed 10 pounds and was packed with explosives and metal shards.
14712,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,The gunman fired an automatic machine gun.
14713,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,A large-caliber machine gun was used.
14714,6,Explosives,,,,,,,,,,,,,,,A powerful kind of firecracker was used.
14715,5,Firearms,3,Handgun,,,,,,,,,,,,,The perpetrator used two pistols and later wrested control of a submachine gun from a police guard.
14716,6,Explosives,14,Time Fuse,,,,,,,,,,,,,A 5.5 pound explosive with a timing device was defused.
14717,6,Explosives,15,Vehicle,,,,,,,,,,,,,The car bomb was composed of C-4.
14718,6,Explosives,12,Remote Trigger,5,Firearms,5,Unknown Gun Type,,,,,,,,,Remotely detonated homemade bomb; light weapons
14719,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Qassam 2 rockets were used in the incident.
14720,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,Two one-gallon plastic milk containers filled with flammable liquid were used in the attack.
14721,6,Explosives,7,Grenade,,,,,,,,,,,,,Hand grenade planted in ground
14722,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Five mortars were used in the attack.
14723,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,A powerful charge of dynamite was used in the attack.
14724,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Victim shot at point blank range
14725,6,Explosives,13,Suicide (carried bodily by human being),,,,,,,,,,,,,More than 100 pounds of explosives were used in the attack.
14726,8,Incendiary,20,Gasoline or Alcohol,5,Firearms,3,Handgun,,,,,,,,,The NPA rebels used handguns to order the drivers off the buses and poured gasoline on the buses in order to set them on fire.
14727,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,A Molotov cocktail was thrown at the vehicles.
14728,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Qassam 2 rockets were used in the attack.
14729,6,Explosives,15,Vehicle,,,,,,,,,,,,,An improvised explosive was used in the attack and police found a broken timer and a battery-operated trigger mechanism at the scene.
14730,6,Explosives,13,Suicide (carried bodily by human being),5,Firearms,5,Unknown Gun Type,,,,,,,,,One of the gunmen was wearing an explosive belt but failed to detonate it.
14731,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Three 81-millimeter mortar rounds hooked up to a battery-powered detonator was used in the attack.
14732,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,The bomb was hidden in a sewage drain.
14733,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A remote-controlled improvised explosive device was used in the attack.
14734,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Mortars were used in the attack.
14735,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Four Qassam rockets were used in the attack.
14736,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,A firebomb was used in the attack.
14737,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Police suspect that a bomb placed in an empty milk container with a timer was used in the attack.
14738,6,Explosives,15,Vehicle,,,,,,,,,,,,,A parked truck carrying a 660-pound bomb exploded.
14739,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,The improvised explosive device was placed inside of a plastic container.
14740,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Two explosive  projectiles were used in the attack.
14741,6,Explosives,14,Time Fuse,,,,,,,,,,,,,The device consisted of three pipe bombs and a timer attached to 75 liters of oil.
14742,6,Explosives,,,,,,,,,,,,,,,Two petrol bombs were thrown at the building.
14743,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,A Heckler & Koch rifle was used.
14744,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A gelatine explosive material that is typically used for industrial purposes was used in the attack.
14745,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Police speculated that the bomb was set off by a remote control or a timer.
14746,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,The bombs were to be detonated by heat.
14747,6,Explosives,7,Grenade,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,
14748,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,The charge was made up of 110 pounds of explosives.
14749,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Gas canisters caused the fire.
14750,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,M60 machine guns M203 grenade rifles M14 and M16 rifles were used in the attack.
14751,6,Explosives,7,Grenade,,,,,,,,,,,,,Three rocket-propelled grenades were used in the attack; three more failed to explode.
14752,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,One to five rockets were used in the attack; sources disagree on the number.
14753,7,Fake Weapons,,,,,,,,,,,,,,,Fake organophosphate bomb in a box that was actually just two aerosol cans and Raid insecticide
14754,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,The bomb was triggered by a cell phone and fashioned from a mortar shell.
14755,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A medium-intensity explosive device was used.
14756,8,Incendiary,,,,,,,,,,,,,,,Police described the weapon as an incendiary bomb.
14757,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,MILF rebels fired two RPGs at the water reservoir plant.
14758,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Four gas canisters were used to ignite the fire.
14759,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,The rebels used explosive-filled gas cylinders in the attack.
14760,6,Explosives,7,Grenade,,,,,,,,,,,,,Four grenades were used in the attacks.
14761,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Small cooking gas cylinders were used as makeshift incendiary devices.
14762,6,Explosives,15,Vehicle,,,,,,,,,,,,,The bomb detonated in a taxi car that was passing the checkpoint.
14763,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Two rockets were fired.
14764,6,Explosives,7,Grenade,5,Firearms,2,Automatic or Semi-Automatic Rifle,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,The rebels used grenade-launchers machine guns automatic rifles grenades and NURS S-5 rockets in the attack.
14765,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,The bomb was activated by a fuse and small blunt objects were ejected from the device.
14766,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,ignited flammable liquid
14767,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A propane tank hidden in a trash bin was detonated in the attack.
14768,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,A rocket was used in the attack
14769,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,The devices were composed of eight kg of ammonal and ammonium nitrate fuel oil ANFO.
14770,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Three rockets were used in the attack.
14771,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A bomb placed inside of an oil tanker
14772,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,HAMAS fired three Qassam rockets.
14773,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,The rebels detonated 50 kg of explosives.
14774,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,A petrol bomb was thrown in the attack.
14775,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,A 122 mm rocket was used in the attack.
14776,10,Vehicle (not to include vehicle-borne explosives i.e. car or truck bombs),,,,,,,,,,,,,,,
14777,10,Vehicle (not to include vehicle-borne explosives i.e. car or truck bombs),,,,,,,,,,,,,,,Rammed vehicle into security gate of air force base
14778,6,Explosives,8,Landmine,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,A landmine was used to blow up a UAZ vehicle after that assault weapons were used to fire at the vehicle.
14779,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Turkish police believe the bomb was a resonant device (sound bomb).
14780,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,The assailant used a machine gun.
14781,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,The perpetrators left a bag with bomb inside it outside the shop.
14782,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,A bomb assembled from four 60 mm mortars was used in the attack.
14783,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,The type of gun used in this incident was not reported.
14784,5,Firearms,5,Unknown Gun Type,8,Incendiary,18,Arson/Fire,,,,,,,,,The type of gun or ignitable device used in this incident was not reported.
14785,9,Melee,23,Knife or Other Sharp Object,,,,,,,,,,,,,The specific type of weapon used in this incident was not reported.
14786,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,The attackers used AK-47 rifles during the incident.
14787,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,It is believed that an oil was used to start the fire.
14788,5,Firearms,5,Unknown Gun Type,8,Incendiary,18,Arson/Fire,,,,,,,,,The type of gun and incendiary used in this incident was not reported.
14789,13,Unknown,,,,,,,,,,,,,,,The specific type of weapon used in this incident was not reported.
14790,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Kalashnikov rifles were reported in the incident.
14791,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Unspecified rifles were used in this incident was not reported.
14792,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,The type of flammable device was used to start the fire in this incident was not reported.
14793,5,Firearms,5,Unknown Gun Type,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,Unspecified automatic guns and Rocket Propelled Grenades (RPGs) were used in the attack.
14794,6,Explosives,8,Landmine,,,,,,,,,,,,,A land mine was used in the attack.
14795,5,Firearms,5,Unknown Gun Type,6,Explosives,7,Grenade,,,,,,,,,An unspecified rifle and fragmentation grenades were used in the attack.
14796,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,The explosive device consisted of three cans of gasoline. It was detonated by a battery-powered device.
14797,5,Firearms,3,Handgun,,,,,,,,,,,,,The perpetrator used a gun with a silencer.
14798,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A remote-controlled bomb hidden inside a soccer ball
14799,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A bomb loaded onto a bicycle
14800,5,Firearms,2,Automatic or Semi-Automatic Rifle,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,The attackers used M-14 and M-17 rifles M-203 grenade launchers and M-60 machine guns.
14801,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,The victim was shot in the back of the head and her body was left by the side of the road
14802,6,Explosives,8,Landmine,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,5,Unknown Gun Type,,,,,
14803,6,Explosives,15,Vehicle,6,Explosives,13,Suicide (carried bodily by human being),5,Firearms,5,Unknown Gun Type,,,,,Two of the dead attackers had explosives strapped to their bodies.
14804,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,The bomb was apparently homemade.
14805,6,Explosives,13,Suicide (carried bodily by human being),,,,,,,,,,,,,The bomb was packed with nails.
14806,6,Explosives,9,Letter Bomb,,,,,,,,,,,,,A parcel-bomb was used in this incident.
14807,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,5,Unknown Gun Type,,,,,,,,,Anti-tank rockets 60 MM mortars and unspecified guns were used in this incident.
14808,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Kerosene was used to set fires in this incident.
14809,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Unspecified rockets were used in this incident.
14810,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,plastic milk bottles filled with flammable liquid
14811,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,A M-79 grenade launcher was used during this incident.
14812,6,Explosives,16,Unknown Explosive Type,5,Firearms,5,Unknown Gun Type,9,Melee,23,Knife or Other Sharp Object,,,,,An unspecified roadside bomb was used in this incident. Knifes and unspecified guns were also used in this attack.
14813,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Four pounds of explosives
14814,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A coffee-jar bomb was used in this incident.
14815,6,Explosives,7,Grenade,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,Unspecified automatic weapons and hand grenades were used in the incident.
14816,5,Firearms,5,Unknown Gun Type,9,Melee,23,Knife or Other Sharp Object,,,,,,,,,Unspecified assault rifles and machetes were used in this incident.
14817,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,A sniper rifle was used in this incident.
14818,6,Explosives,15,Vehicle,,,,,,,,,,,,,The car was packed with explosives.
14819,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,The bomb used in this incident was made from an artillery charge and had a remote control trigger.
14820,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Homemade Qassam rockets were used in this incident.
14821,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,5,Unknown Gun Type,,,,,,,,,Unspecified rockets and rifles were used in this incident.
14822,6,Explosives,14,Time Fuse,,,,,,,,,,,,,The powerful bomb was made up of an 81-millimeter mortar placed inside a liquefied petroleum gas (LPG) tank.
14823,6,Explosives,14,Time Fuse,,,,,,,,,,,,,The device was made from an 11-kilogram gas cylinder with a trigger and a timing device.
14824,6,Explosives,9,Letter Bomb,,,,,,,,,,,,,A mail bomb was used in this incident.
14825,5,Firearms,2,Automatic or Semi-Automatic Rifle,6,Explosives,7,Grenade,,,,,,,,,Grenades and automatic rifles were used in this incident.
14826,6,Explosives,15,Vehicle,,,,,,,,,,,,,A truck loaded with one ton of explosives was used in this incident.
14827,6,Explosives,15,Vehicle,,,,,,,,,,,,,A truck loaded with explosives most likely of the RDX type was used in this incident.
14828,6,Explosives,7,Grenade,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,Unspecified assault rifles and grenades were used in this incident.
14829,6,Explosives,13,Suicide (carried bodily by human being),,,,,,,,,,,,,Suicide vest explosive devices were used in this incident.
14830,6,Explosives,14,Time Fuse,,,,,,,,,,,,,It was reported that firecrackers detonated with timed devices were used in this incident.
14831,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Several rocket propelled grenades were used in the incident.
14832,6,Explosives,13,Suicide (carried bodily by human being),,,,,,,,,,,,,Police said the bomb weighed up to five kilograms and was packed with nails and scrap metal.
14833,6,Explosives,7,Grenade,5,Firearms,5,Unknown Gun Type,6,Explosives,7,Grenade,,,,,Grenades unspecified guns and a mine was used in this incident.
14834,6,Explosives,16,Unknown Explosive Type,5,Firearms,5,Unknown Gun Type,,,,,,,,,A landmine and unspecified guns were used in this incident.
14835,6,Explosives,12,Remote Trigger,5,Firearms,5,Unknown Gun Type,,,,,,,,,A remote-controlled bomb and unspecified guns were used in this incident.
14836,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A home-made explosive device was used in this incident.
14837,6,Explosives,9,Letter Bomb,,,,,,,,,,,,,A package bomb was used in this incident.
14838,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,A Molotov cocktail was used in this incident.
14839,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A powerful remote-controlled bomb was used in this incident.
14840,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Flammable liquid poured through mail slot and ignited on fire
14841,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,6,Other Gun Type,,,,,,,,,Unspecified small arms rocket-propelled grenades and heavy machine guns were used in this incident.
14842,6,Explosives,7,Grenade,,,,,,,,,,,,,Two hand grenades were used in the attack.
14843,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Two camping gas canisters a bottle containing inflammable liquid and three fireworks were used to construct the explosive used in this incident.
14844,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,150 kilograms (330 pounds) of dynamite were used in this incident.
14845,6,Explosives,7,Grenade,5,Firearms,5,Unknown Gun Type,,,,,,,,,The attackers used grenades and small arms in the attack.
14846,5,Firearms,2,Automatic or Semi-Automatic Rifle,6,Explosives,7,Grenade,,,,,,,,,Assault rifles and grenades were used in this incident.
14847,6,Explosives,11,Projectile (rockets mortars RPGs etc.),8,Incendiary,18,Arson/Fire,,,,,,,,,Unspecified rockets and mortars were used in this incident. Homes were also burned during the attack.
14848,8,Incendiary,18,Arson/Fire,13,Unknown,,,,,,,,,,,Arson and other unspecified weapons were used in this incident.
14849,6,Explosives,13,Suicide (carried bodily by human being),,,,,,,,,,,,,An explosive suicide device which detonated when shot by authorities was used in the attack.
14850,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Two Russian-made rockets were fired in the attack.
14851,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,One rocket was fired in the attack.
14852,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A remote-controlled explosive
14853,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,"""napalm incendiary"""
14854,2,Chemical,,,,,,,,,,,,,,,phenarsazine chloride hydrazine
14855,2,Chemical,,,,,,,,,,,,,,,Diphenylamine chloroarsine
14856,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Four mortar rounds were fired during the attack.
14857,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,The gunmen used a Kalashnikov in the attack.
14858,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Two 107 mm rockets were fired in the attack.
14859,9,Melee,23,Knife or Other Sharp Object,,,,,,,,,,,,,The villagers were hacked to death with unnamed weapons.
14860,8,Incendiary,18,Arson/Fire,13,Unknown,,,,,,,,,,,During the attack the perpetrators set fire to 12 houses.
14861,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Three mortar shells were fired at the settlement.
14862,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,The soldiers were hit by homemade mortars and automatic weapons fire.
14863,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,The militants used an improvised explosive device in the attack.
14864,6,Explosives,13,Suicide (carried bodily by human being),,,,,,,,,,,,,The explosives were concealed inside a black back that the suicide bomber was carrying.
14865,6,Explosives,15,Vehicle,,,,,,,,,,,,,A truck packed with explosives blew up between 50 and 300 meters away from the main entrance to the government complex. The depth of the crater from the explosion reached 4 to 5 meters.
14866,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Both bombs were planted in trash cans. They exploded two minutes apart from each other.
14867,2,Chemical,1,Poisoning,,,,,,,,,,,,,The militants injected Rani Begum with a poisonous substance leading to her death.
14868,6,Explosives,7,Grenade,,,,,,,,,,,,,One grenade was thrown.
14869,5,Firearms,2,Automatic or Semi-Automatic Rifle,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,The attackers fired machine guns and rocket-propelled grenades at the convoy.
14870,2,Chemical,1,Poisoning,,,,,,,,,,,,,The militants injected a man with a poisonous substance leading to his death.
14871,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Three rockets were fired during the attack.
14872,6,Explosives,15,Vehicle,,,,,,,,,,,,,A remote controlled motorcyle bomb was used in the attack
14873,6,Explosives,13,Suicide (carried bodily by human being),6,Explosives,7,Grenade,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,The three attackers first fired rifles and threw grenades before at least one of the attackers set-off a bomb attached to himself. Witnesses said the attackers fired five to six rounds at a time multiple times before reloading.
14874,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,Articles stated that the houses were petrol-bombed.
14875,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,The Ramadi blast came from a TNT-filled bag of rice that was detonated by remote control according to Maj. Anthony Aguto.
14876,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,A total of 26 anti-aircraft missiles were launched in three salvos.
14877,6,Explosives,13,Suicide (carried bodily by human being),,,,,,,,,,,,,Police officials said that the bombs were laced with ball bearings and metal fragments an approximately one kilogram (2.2 pounds) of TNT.
14878,5,Firearms,2,Automatic or Semi-Automatic Rifle,9,Melee,23,Knife or Other Sharp Object,,,,,,,,,Kalashnikovs; throats slit
14879,5,Firearms,6,Other Gun Type,6,Explosives,7,Grenade,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,
14880,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,A total of six rockets were fired into Bujumbura Burundi. One rockets hit a bank and another rocket landed in a marketplace while the other rockets caused only property damage.
14881,6,Explosives,16,Unknown Explosive Type,5,Firearms,5,Unknown Gun Type,,,,,,,,,Reports mention that the Security Force Patrol was struck by an explosion from a booby trap and was shot at.
14882,6,Explosives,10,Pressure Trigger,,,,,,,,,,,,,The bomb contained roughly one pound of military-issued explosives.
14883,9,Melee,23,Knife or Other Sharp Object,5,Firearms,5,Unknown Gun Type,,,,,,,,,The five victims were tortured with machetes and then shot with an unknown type of firearm.
14884,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Police found a metal box containing a small amount of dynamite a detonator and a wristwatch that was supposed to act as a timing device.
14885,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,The bomb weighed approximately five kilograms.
14886,6,Explosives,8,Landmine,,,,,,,,,,,,,It was reported that the remote-controlled land mine was planted a few meters from a bridge.
14887,6,Explosives,14,Time Fuse,,,,,,,,,,,,,The four kilogram device was defused by police.
14888,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,The explosive device was four kilograms.
14889,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Jakarta police spokesman Senior Commissioner Prasetyo said the device used in the attack was a 60-centimeter (24-inch) pipe bomb with a diameter of 12 centimeters and contained black powder.
14890,11,Sabotage Equipment,,,,,,,,,,,,,,,Reports stated that the tracks were removed from the rail causing an engine car and two coaches to derail.
14891,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Unknown explosive device
14892,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,The bomb used in the incident was homemade.
14893,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,The insurgents attacked the U.S. Army convoy truck with rocket-propelled grenades.
14894,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Insurgents fired a surface-to-air missile.
14895,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Insurgents reportedly used either a grenade or an improvised explosive device in the attack.
14896,6,Explosives,15,Vehicle,,,,,,,,,,,,,The bomb was attached to a motorcycle or scooter parked near the police station.  The bomb was packed with nuts bolts and ball bearings hurling fist-sized shrapnel through windows.
14897,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,The types of weapons if any used were unspecified.
